Income_Segment,Education,Has_Children,Enrollment_Year,Product,Sales
High,Graduation,Has Children,2013,Wine,247
High,Graduation,Has Children,2013,Wine,856
High,Master,No Children,2012,Wine,496
Medium,Diploma,Has Children,2012,Wine,25
High,Graduation,Has Children,2013,Wine,258
High,PhD,Has Children,2013,Wine,565
Low,Graduation,No Children,2014,Wine,14
Medium,Graduation,Has Children,2012,Wine,2
High,Master,No Children,2012,Wine,721
High,Graduation,No Children,2012,Wine,1032
Low,Diploma,No Children,2013,Wine,1
Medium,Graduation,No Children,2013,Wine,577
Low,Graduation,Has Children,2012,Wine,64
Low,Graduation,Has Children,2013,Wine,4
Low,Diploma,Has Children,2013,Wine,25
Medium,Master,No Children,2013,Wine,112
High,Graduation,No Children,2014,Wine,163
Low,Graduation,Has Children,2013,Wine,17
Medium,Master,Has Children,2013,Wine,130
Medium,Graduation,Has Children,2014,Wine,292
High,Graduation,No Children,2014,Wine,350
Medium,Graduation,Has Children,2014,Wine,135
Medium,PhD,Has Children,2012,Wine,230
Medium,Graduation,Has Children,2014,Wine,7
Medium,Master,No Children,2013,Wine,445
Medium,Master,Has Children,2014,Wine,15
Low,PhD,Has Children,2014,Wine,27
Medium,Graduation,Has Children,2014,Wine,5
Medium,Graduation,Has Children,2012,Wine,505
Medium,Graduation,Has Children,2013,Wine,51
High,Diploma,No Children,2013,Wine,207
Medium,PhD,No Children,2013,Wine,135
Medium,Diploma,Has Children,2013,Wine,53
Medium,PhD,Has Children,2014,Wine,41
High,Graduation,Has Children,2013,Wine,386
High,PhD,No Children,2013,Wine,562
High,Graduation,No Children,2014,Wine,217
Low,Basic,Has Children,2013,Wine,1
Medium,Graduation,Has Children,2013,Wine,144
Medium,Graduation,Has Children,2013,Wine,295
Medium,Graduation,Has Children,2012,Wine,76
High,Master,No Children,2012,Wine,454
High,Graduation,Has Children,2013,Wine,425
High,PhD,No Children,2012,Wine,1332
Medium,Master,Has Children,2014,Wine,527
High,Graduation,No Children,2013,Wine,490
Medium,PhD,Has Children,2012,Wine,378
Medium,Graduation,Has Children,2013,Wine,64
High,Graduation,No Children,2014,Wine,547
Medium,Diploma,Has Children,2013,Wine,47
Medium,Diploma,Has Children,2013,Wine,12
Low,Graduation,Has Children,2013,Wine,1
Medium,Master,Has Children,2013,Wine,320
Medium,Master,Has Children,2014,Wine,34
Low,Master,Has Children,2013,Wine,9
Medium,Graduation,Has Children,2013,Wine,17
High,Graduation,No Children,2013,Wine,722
High,Diploma,No Children,2013,Wine,162
High,Graduation,No Children,2013,Wine,450
Medium,Master,Has Children,2014,Wine,70
Medium,PhD,Has Children,2013,Wine,352
High,PhD,Has Children,2014,Wine,492
High,Graduation,Has Children,2013,Wine,120
High,Master,Has Children,2013,Wine,534
High,Graduation,No Children,2014,Wine,236
Medium,Graduation,Has Children,2013,Wine,231
Medium,PhD,Has Children,2013,Wine,220
High,PhD,No Children,2013,Wine,796
Low,Basic,Has Children,2012,Wine,0
Medium,PhD,Has Children,2013,Wine,53
Medium,PhD,Has Children,2014,Wine,15
Medium,PhD,Has Children,2013,Wine,17
High,Master,No Children,2012,Wine,962
High,Master,Has Children,2013,Wine,738
High,Graduation,No Children,2013,Wine,399
High,PhD,Has Children,2013,Wine,614
Medium,Graduation,Has Children,2013,Wine,32
Medium,Graduation,Has Children,2012,Wine,598
Low,Graduation,Has Children,2012,Wine,2
Medium,Graduation,Has Children,2013,Wine,6
Medium,Diploma,Has Children,2012,Wine,73
Medium,Master,No Children,2014,Wine,42
Medium,Master,Has Children,2014,Wine,295
High,Graduation,Has Children,2014,Wine,346
Medium,Diploma,Has Children,2012,Wine,233
Medium,Graduation,Has Children,2014,Wine,5
High,PhD,Has Children,2012,Wine,888
High,Graduation,No Children,2013,Wine,997
Medium,Graduation,Has Children,2013,Wine,212
High,Graduation,Has Children,2013,Wine,8
Medium,Graduation,Has Children,2013,Wine,42
High,Graduation,No Children,2013,Wine,536
Medium,Master,Has Children,2013,Wine,5
High,PhD,No Children,2012,Wine,1349
Low,Graduation,Has Children,2014,Wine,53
High,PhD,No Children,2013,Wine,1001
Medium,Graduation,Has Children,2013,Wine,18
High,Graduation,No Children,2013,Wine,125
Medium,Graduation,No Children,2013,Wine,212
High,Graduation,No Children,2013,Wine,277
Low,Graduation,Has Children,2014,Wine,15
Medium,Graduation,Has Children,2014,Wine,7
Low,Graduation,Has Children,2013,Wine,12
Medium,Graduation,Has Children,2014,Wine,85
Medium,PhD,Has Children,2014,Wine,81
Medium,Graduation,Has Children,2014,Wine,59
High,PhD,Has Children,2012,Wine,1149
High,PhD,No Children,2012,Wine,847
Medium,PhD,Has Children,2014,Wine,29
Medium,Graduation,Has Children,2014,Wine,2
High,Diploma,No Children,2013,Wine,207
Medium,PhD,Has Children,2014,Wine,152
Low,Diploma,Has Children,2014,Wine,12
High,Master,No Children,2013,Wine,620
Medium,Master,Has Children,2014,Wine,47
Low,Basic,No Children,2014,Wine,1
Low,Graduation,Has Children,2012,Wine,10
Medium,PhD,Has Children,2014,Wine,35
High,Graduation,Has Children,2013,Wine,356
High,Graduation,No Children,2013,Wine,783
Medium,PhD,Has Children,2013,Wine,42
Low,Basic,Has Children,2012,Wine,1
High,PhD,No Children,2013,Wine,466
Medium,Graduation,Has Children,2013,Wine,23
Medium,Graduation,Has Children,2013,Wine,235
Medium,Graduation,Has Children,2013,Wine,10
High,Master,No Children,2014,Wine,656
High,Graduation,No Children,2013,Wine,519
High,Graduation,No Children,2013,Wine,344
Medium,PhD,Has Children,2014,Wine,96
High,Graduation,Has Children,2014,Wine,448
High,Graduation,No Children,2013,Wine,265
High,Graduation,Has Children,2013,Wine,587
High,PhD,No Children,2012,Wine,763
Medium,PhD,Has Children,2013,Wine,22
Low,Master,No Children,2012,Wine,6
Low,Graduation,Has Children,2013,Wine,7
Medium,Master,Has Children,2013,Wine,81
Medium,Graduation,Has Children,2014,Wine,54
High,Graduation,Has Children,2012,Wine,1170
Medium,Graduation,Has Children,2013,Wine,72
High,Graduation,No Children,2014,Wine,613
Medium,PhD,Has Children,2012,Wine,224
Medium,Master,Has Children,2013,Wine,410
High,Graduation,No Children,2013,Wine,239
Medium,Graduation,Has Children,2014,Wine,171
Medium,Diploma,Has Children,2014,Wine,12
High,Master,No Children,2013,Wine,1076
Medium,Master,Has Children,2013,Wine,182
High,Graduation,Has Children,2012,Wine,824
Medium,Diploma,Has Children,2014,Wine,30
High,Graduation,No Children,2013,Wine,377
High,PhD,Has Children,2014,Wine,520
Medium,PhD,Has Children,2013,Wine,155
High,Graduation,Has Children,2012,Wine,897
Medium,Graduation,Has Children,2013,Wine,131
Medium,Graduation,Has Children,2012,Wine,297
Medium,Graduation,Has Children,2012,Wine,787
High,PhD,No Children,2012,Wine,792
Medium,PhD,Has Children,2014,Wine,4
Medium,Graduation,Has Children,2013,Wine,231
High,Diploma,Has Children,2013,Wine,983
Medium,Graduation,Has Children,2013,Wine,3
Low,Graduation,No Children,2014,Wine,0
High,PhD,Has Children,2013,Wine,562
Low,Diploma,Has Children,2013,Wine,5
Low,Master,Has Children,2013,Wine,18
High,PhD,Has Children,2013,Wine,415
Low,Graduation,Has Children,2013,Wine,5
High,Graduation,No Children,2013,Wine,901
High,Graduation,Has Children,2012,Wine,382
Low,Graduation,Has Children,2013,Wine,14
High,Graduation,No Children,2013,Wine,559
High,Graduation,Has Children,2012,Wine,789
Medium,PhD,Has Children,2014,Wine,11
High,Graduation,Has Children,2013,Wine,1218
High,Graduation,Has Children,2013,Wine,925
High,PhD,No Children,2012,Wine,864
High,Master,Has Children,2012,Wine,960
Medium,Master,Has Children,2013,Wine,16
Low,Graduation,Has Children,2013,Wine,3
High,Graduation,No Children,2013,Wine,168
Low,Diploma,No Children,2012,Wine,45
High,Graduation,Has Children,2012,Wine,650
Medium,PhD,Has Children,2012,Wine,24
High,PhD,Has Children,2012,Wine,918
Medium,Graduation,Has Children,2012,Wine,138
Low,Graduation,Has Children,2013,Wine,12
Medium,PhD,Has Children,2013,Wine,11
Low,Graduation,Has Children,2012,Wine,1
High,PhD,Has Children,2013,Wine,554
Medium,Master,Has Children,2014,Wine,167
Medium,PhD,Has Children,2012,Wine,9
Medium,Master,Has Children,2013,Wine,177
Medium,Master,Has Children,2013,Wine,38
High,Graduation,No Children,2014,Wine,483
Medium,PhD,Has Children,2012,Wine,77
High,Graduation,No Children,2013,Wine,182
Low,Graduation,Has Children,2013,Wine,10
High,Graduation,No Children,2012,Wine,778
Medium,Master,Has Children,2014,Wine,16
High,PhD,Has Children,2014,Wine,167
Low,Graduation,Has Children,2014,Wine,13
Medium,Graduation,Has Children,2013,Wine,33
High,PhD,Has Children,2013,Wine,625
High,Graduation,No Children,2013,Wine,216
High,Master,No Children,2014,Wine,68
High,PhD,No Children,2013,Wine,196
High,Master,Has Children,2013,Wine,635
Low,Basic,Has Children,2013,Wine,4
Medium,Graduation,Has Children,2012,Wine,297
Medium,Graduation,No Children,2012,Wine,84
High,PhD,Has Children,2014,Wine,204
Medium,Master,Has Children,2014,Wine,26
Medium,Graduation,Has Children,2013,Wine,15
High,Graduation,No Children,2013,Wine,304
Medium,Master,Has Children,2013,Wine,285
High,Graduation,No Children,2014,Wine,395
Medium,Master,No Children,2013,Wine,248
Medium,Diploma,No Children,2013,Wine,20
Medium,Graduation,Has Children,2013,Wine,39
High,Graduation,No Children,2012,Wine,777
Low,Graduation,Has Children,2014,Wine,8
Low,Graduation,Has Children,2013,Wine,9
Medium,Master,Has Children,2012,Wine,1241
Medium,Diploma,Has Children,2013,Wine,6
Medium,Master,Has Children,2013,Wine,65
High,Graduation,No Children,2013,Wine,395
Medium,PhD,Has Children,2014,Wine,801
Medium,Graduation,Has Children,2014,Wine,36
Medium,Diploma,Has Children,2013,Wine,513
Medium,PhD,Has Children,2014,Wine,37
Medium,Graduation,Has Children,2014,Wine,80
Low,Graduation,Has Children,2013,Wine,14
High,Master,No Children,2013,Wine,525
Low,Graduation,No Children,2012,Wine,1
High,Graduation,No Children,2014,Wine,675
High,Master,Has Children,2013,Wine,509
Medium,Master,No Children,2013,Wine,154
Low,Graduation,Has Children,2014,Wine,3
Low,Graduation,Has Children,2013,Wine,25
Medium,Graduation,No Children,2013,Wine,861
High,Master,No Children,2013,Wine,768
Medium,Graduation,Has Children,2013,Wine,185
Low,Master,Has Children,2014,Wine,24
Medium,Graduation,Has Children,2013,Wine,44
High,Graduation,Has Children,2012,Wine,91
Medium,Graduation,Has Children,2013,Wine,11
Medium,Graduation,Has Children,2013,Wine,738
High,Graduation,Has Children,2013,Wine,412
Medium,Graduation,Has Children,2013,Wine,3
Medium,PhD,Has Children,2014,Wine,16
High,PhD,Has Children,2013,Wine,731
Medium,Graduation,Has Children,2013,Wine,424
High,Graduation,No Children,2013,Wine,792
Low,PhD,Has Children,2013,Wine,21
Low,Graduation,Has Children,2013,Wine,22
Medium,PhD,Has Children,2013,Wine,33
Low,PhD,Has Children,2013,Wine,68
Low,Graduation,Has Children,2013,Wine,9
Medium,PhD,No Children,2013,Wine,40
High,PhD,Has Children,2013,Wine,909
Medium,Master,Has Children,2013,Wine,23
Low,Graduation,Has Children,2013,Wine,11
High,Graduation,Has Children,2012,Wine,317
High,Graduation,No Children,2012,Wine,797
Medium,Graduation,Has Children,2012,Wine,10
High,Graduation,No Children,2013,Wine,856
High,Graduation,No Children,2012,Wine,456
Medium,Graduation,No Children,2013,Wine,37
Medium,PhD,Has Children,2012,Wine,1103
Medium,PhD,Has Children,2013,Wine,378
Low,Basic,Has Children,2013,Wine,1
High,Graduation,No Children,2013,Wine,204
Medium,Graduation,Has Children,2013,Wine,30
High,Graduation,No Children,2014,Wine,189
Medium,Graduation,Has Children,2012,Wine,15
Medium,Master,Has Children,2014,Wine,9
High,Graduation,Has Children,2013,Wine,495
High,Graduation,Has Children,2013,Wine,656
High,PhD,No Children,2013,Wine,452
High,Graduation,No Children,2012,Wine,546
Medium,PhD,Has Children,2012,Wine,1048
Medium,Graduation,Has Children,2013,Wine,22
Medium,Graduation,Has Children,2013,Wine,78
High,PhD,No Children,2012,Wine,561
High,Master,No Children,2013,Wine,629
Medium,PhD,Has Children,2013,Wine,269
High,Graduation,No Children,2012,Wine,736
High,PhD,Has Children,2014,Wine,512
Low,Graduation,Has Children,2014,Wine,19
Medium,PhD,Has Children,2012,Wine,9
Medium,Graduation,Has Children,2012,Wine,247
Medium,Graduation,Has Children,2012,Wine,404
High,Graduation,No Children,2013,Wine,333
Medium,Graduation,Has Children,2013,Wine,2
High,Graduation,No Children,2012,Wine,833
Medium,PhD,Has Children,2012,Wine,789
Medium,Diploma,Has Children,2014,Wine,10
Medium,Graduation,Has Children,2012,Wine,159
Low,Master,Has Children,2013,Wine,7
High,Graduation,Has Children,2012,Wine,977
Medium,PhD,Has Children,2013,Wine,38
Medium,Master,Has Children,2012,Wine,57
Low,Graduation,No Children,2013,Wine,3
Medium,Graduation,Has Children,2012,Wine,10
High,PhD,Has Children,2013,Wine,1043
Medium,Graduation,Has Children,2013,Wine,3
Medium,PhD,Has Children,2013,Wine,11
Low,Graduation,Has Children,2013,Wine,3
Low,Graduation,No Children,2012,Wine,43
Medium,Diploma,Has Children,2012,Wine,73
Medium,Master,Has Children,2014,Wine,12
Low,Graduation,Has Children,2013,Wine,4
Medium,Master,Has Children,2013,Wine,314
High,Graduation,Has Children,2012,Wine,571
Medium,Graduation,Has Children,2012,Wine,70
High,PhD,Has Children,2013,Wine,866
High,Graduation,No Children,2014,Wine,594
High,Master,Has Children,2013,Wine,140
High,Graduation,No Children,2014,Wine,375
Medium,PhD,No Children,2013,Wine,102
High,Master,Has Children,2014,Wine,554
High,PhD,No Children,2013,Wine,919
Medium,Graduation,Has Children,2012,Wine,96
Low,Graduation,Has Children,2012,Wine,5
Low,Graduation,Has Children,2012,Wine,2
Low,Diploma,Has Children,2012,Wine,6
Medium,Diploma,Has Children,2013,Wine,23
High,Graduation,No Children,2012,Wine,610
Medium,Graduation,Has Children,2013,Wine,67
Medium,Graduation,No Children,2013,Wine,65
Medium,PhD,Has Children,2013,Wine,416
Medium,Graduation,Has Children,2014,Wine,23
Low,PhD,Has Children,2012,Wine,19
High,PhD,Has Children,2014,Wine,155
Medium,PhD,Has Children,2013,Wine,14
Medium,Graduation,Has Children,2012,Wine,370
Low,Diploma,Has Children,2012,Wine,4
Medium,Graduation,Has Children,2012,Wine,407
High,PhD,Has Children,2013,Wine,1200
Medium,Graduation,Has Children,2012,Wine,85
High,Graduation,Has Children,2013,Wine,583
High,PhD,No Children,2014,Wine,483
Low,Diploma,Has Children,2013,Wine,2
High,Graduation,No Children,2014,Wine,966
High,Graduation,No Children,2013,Wine,822
Medium,Master,Has Children,2013,Wine,604
Medium,PhD,Has Children,2014,Wine,19
Medium,Graduation,Has Children,2014,Wine,5
Low,Master,Has Children,2014,Wine,2
High,Master,No Children,2013,Wine,1076
High,PhD,No Children,2013,Wine,1285
Medium,Graduation,Has Children,2013,Wine,10
High,Graduation,No Children,2014,Wine,551
High,Graduation,Has Children,2014,Wine,800
Low,Diploma,Has Children,2014,Wine,2
High,Graduation,Has Children,2013,Wine,378
High,PhD,No Children,2013,Wine,1248
Medium,Graduation,Has Children,2012,Wine,235
High,Diploma,Has Children,2013,Wine,515
High,Graduation,Has Children,2013,Wine,438
Medium,Graduation,Has Children,2014,Wine,25
Medium,Master,Has Children,2013,Wine,31
High,Graduation,Has Children,2013,Wine,357
Medium,Master,Has Children,2013,Wine,400
Medium,PhD,Has Children,2013,Wine,99
Low,Diploma,Has Children,2013,Wine,1
Low,Graduation,Has Children,2013,Wine,5
Medium,PhD,Has Children,2013,Wine,77
Low,Graduation,No Children,2013,Wine,3
Medium,Graduation,Has Children,2012,Wine,10
Low,Diploma,No Children,2014,Wine,0
Low,Graduation,No Children,2013,Wine,0
Medium,Master,Has Children,2013,Wine,76
High,Graduation,No Children,2013,Wine,398
Low,Graduation,Has Children,2013,Wine,14
Medium,PhD,Has Children,2013,Wine,208
Medium,Graduation,Has Children,2013,Wine,430
Medium,Graduation,Has Children,2013,Wine,656
Medium,Master,Has Children,2013,Wine,14
High,Diploma,Has Children,2013,Wine,141
High,Graduation,Has Children,2012,Wine,507
Medium,Graduation,Has Children,2012,Wine,164
High,Diploma,No Children,2012,Wine,606
Medium,Master,Has Children,2013,Wine,116
Medium,Graduation,Has Children,2014,Wine,143
High,Diploma,No Children,2012,Wine,398
High,Graduation,Has Children,2014,Wine,522
High,Graduation,No Children,2013,Wine,161
Medium,PhD,Has Children,2014,Wine,112
High,Graduation,No Children,2014,Wine,483
Medium,Graduation,Has Children,2014,Wine,7
High,PhD,No Children,2014,Wine,789
High,PhD,No Children,2013,Wine,1239
Medium,Graduation,Has Children,2012,Wine,4
Medium,Graduation,Has Children,2014,Wine,335
Medium,PhD,Has Children,2012,Wine,639
High,Graduation,Has Children,2013,Wine,563
Medium,Graduation,Has Children,2013,Wine,2
Medium,PhD,Has Children,2012,Wine,746
Medium,Graduation,Has Children,2013,Wine,22
Low,Graduation,Has Children,2014,Wine,4
High,Graduation,Has Children,2013,Wine,478
Medium,PhD,Has Children,2014,Wine,20
Medium,Master,Has Children,2014,Wine,451
High,PhD,Has Children,2012,Wine,371
Medium,Graduation,Has Children,2012,Wine,281
Medium,Master,Has Children,2013,Wine,19
Medium,Master,Has Children,2013,Wine,26
Medium,Graduation,Has Children,2012,Wine,138
Medium,Graduation,Has Children,2013,Wine,213
High,Master,No Children,2012,Wine,407
High,PhD,No Children,2012,Wine,483
High,Master,Has Children,2013,Wine,738
High,Graduation,Has Children,2013,Wine,502
Low,Graduation,Has Children,2014,Wine,11
Low,Diploma,No Children,2012,Wine,24
High,PhD,Has Children,2012,Wine,1170
Medium,Graduation,Has Children,2012,Wine,185
High,Graduation,No Children,2013,Wine,983
Medium,Master,Has Children,2013,Wine,691
Medium,PhD,No Children,2013,Wine,504
Medium,Master,Has Children,2013,Wine,317
Medium,Graduation,Has Children,2014,Wine,29
High,PhD,Has Children,2013,Wine,1396
High,PhD,Has Children,2014,Wine,529
High,Graduation,No Children,2013,Wine,388
Low,Graduation,Has Children,2012,Wine,13
Medium,Master,Has Children,2013,Wine,28
Low,Basic,No Children,2012,Wine,16
High,PhD,Has Children,2012,Wine,1047
Medium,Master,Has Children,2013,Wine,31
Medium,Graduation,No Children,2012,Wine,815
High,Graduation,Has Children,2013,Wine,225
High,Graduation,No Children,2013,Wine,493
Medium,Graduation,No Children,2013,Wine,34
High,Graduation,Has Children,2012,Wine,382
Medium,PhD,Has Children,2013,Wine,127
High,Graduation,Has Children,2013,Wine,325
Medium,Graduation,Has Children,2013,Wine,238
High,Master,No Children,2014,Wine,1168
Medium,PhD,Has Children,2013,Wine,284
High,Master,No Children,2013,Wine,1288
Medium,Graduation,Has Children,2013,Wine,65
Low,Graduation,Has Children,2013,Wine,11
High,Graduation,No Children,2013,Wine,227
High,Master,No Children,2014,Wine,1035
Medium,Graduation,Has Children,2014,Wine,27
High,Master,No Children,2014,Wine,982
Medium,Graduation,No Children,2013,Wine,179
High,Graduation,No Children,2012,Wine,1379
Low,Graduation,Has Children,2012,Wine,32
Medium,Graduation,Has Children,2012,Wine,8
High,PhD,No Children,2013,Wine,881
Medium,Master,No Children,2014,Wine,141
High,Graduation,No Children,2012,Wine,1000
Medium,PhD,Has Children,2013,Wine,206
Medium,Diploma,Has Children,2013,Wine,162
High,Graduation,Has Children,2013,Wine,619
Medium,Master,Has Children,2014,Wine,456
High,Graduation,Has Children,2013,Wine,112
Low,Graduation,Has Children,2013,Wine,11
Medium,Master,Has Children,2013,Wine,172
Medium,Graduation,Has Children,2014,Wine,78
High,Graduation,No Children,2014,Wine,464
Medium,Diploma,Has Children,2013,Wine,99
Low,Master,Has Children,2013,Wine,19
Low,Diploma,Has Children,2013,Wine,1
Medium,Graduation,Has Children,2012,Wine,63
Medium,PhD,Has Children,2012,Wine,252
High,PhD,No Children,2013,Wine,1478
Medium,Graduation,Has Children,2013,Wine,198
Low,Diploma,Has Children,2014,Wine,8
High,Graduation,No Children,2014,Wine,416
Medium,Graduation,Has Children,2013,Wine,42
Low,Graduation,Has Children,2014,Wine,14
Low,Master,Has Children,2014,Wine,17
Medium,Diploma,Has Children,2014,Wine,15
Low,Graduation,Has Children,2014,Wine,6
High,PhD,Has Children,2014,Wine,458
Low,Graduation,No Children,2013,Wine,30
High,Master,No Children,2013,Wine,179
Medium,Graduation,Has Children,2012,Wine,90
Medium,PhD,Has Children,2013,Wine,308
High,Graduation,No Children,2013,Wine,557
Low,Diploma,No Children,2013,Wine,7
High,Graduation,Has Children,2013,Wine,1492
Medium,Graduation,Has Children,2013,Wine,30
High,Graduation,No Children,2013,Wine,249
High,Master,Has Children,2013,Wine,465
High,Diploma,Has Children,2014,Wine,129
Medium,PhD,Has Children,2013,Wine,174
Medium,PhD,Has Children,2014,Wine,189
High,Graduation,Has Children,2012,Wine,747
Low,Master,Has Children,2013,Wine,6
Medium,Graduation,Has Children,2013,Wine,14
Medium,Graduation,Has Children,2012,Wine,12
Medium,Graduation,Has Children,2012,Wine,98
Medium,PhD,Has Children,2014,Wine,32
Medium,Diploma,Has Children,2013,Wine,51
High,PhD,Has Children,2013,Wine,200
Medium,Master,Has Children,2013,Wine,25
High,PhD,Has Children,2013,Wine,1050
Medium,Graduation,Has Children,2014,Wine,117
Low,Graduation,Has Children,2013,Wine,9
Medium,PhD,Has Children,2013,Wine,56
Medium,Master,Has Children,2013,Wine,145
Medium,PhD,Has Children,2012,Wine,203
Medium,Graduation,Has Children,2013,Wine,270
Medium,Diploma,Has Children,2013,Wine,9
Low,Master,No Children,2013,Wine,37
Medium,Graduation,Has Children,2014,Wine,46
Low,Diploma,Has Children,2014,Wine,31
High,Graduation,No Children,2012,Wine,1060
High,Master,Has Children,2013,Wine,264
Medium,Graduation,Has Children,2014,Wine,399
Low,Graduation,No Children,2013,Wine,8
Medium,PhD,Has Children,2012,Wine,19
High,Master,No Children,2012,Wine,817
High,Master,No Children,2013,Wine,292
Medium,Graduation,Has Children,2014,Wine,12
Medium,PhD,No Children,2013,Wine,130
Low,Master,Has Children,2013,Wine,6
Low,Graduation,Has Children,2012,Wine,16
Medium,Master,Has Children,2013,Wine,19
Low,Diploma,Has Children,2013,Wine,4
Medium,Graduation,Has Children,2012,Wine,31
Medium,Graduation,Has Children,2013,Wine,36
High,Graduation,Has Children,2012,Wine,526
High,Graduation,No Children,2013,Wine,400
High,PhD,Has Children,2012,Wine,410
Medium,Master,Has Children,2013,Wine,80
Low,Master,Has Children,2012,Wine,88
Medium,Graduation,Has Children,2014,Wine,55
Low,Graduation,Has Children,2013,Wine,5
Medium,Basic,Has Children,2012,Wine,8
High,Graduation,No Children,2014,Wine,410
Low,Master,No Children,2013,Wine,101
Medium,Master,No Children,2013,Wine,162
Low,Basic,Has Children,2012,Wine,2
Low,Graduation,Has Children,2013,Wine,25
Medium,PhD,No Children,2012,Wine,389
Medium,Graduation,Has Children,2013,Wine,215
Medium,Master,Has Children,2013,Wine,27
Medium,Graduation,Has Children,2013,Wine,5
Medium,Master,Has Children,2012,Wine,179
Medium,PhD,Has Children,2013,Wine,352
Medium,Graduation,No Children,2013,Wine,17
High,Graduation,No Children,2014,Wine,625
Medium,Diploma,Has Children,2013,Wine,10
High,Diploma,No Children,2013,Wine,390
Low,Graduation,Has Children,2013,Wine,10
High,Graduation,Has Children,2013,Wine,215
High,Graduation,Has Children,2012,Wine,1001
Medium,PhD,Has Children,2012,Wine,19
Low,Graduation,Has Children,2012,Wine,41
High,PhD,Has Children,2013,Wine,1181
High,PhD,No Children,2014,Wine,603
High,Diploma,Has Children,2014,Wine,129
Medium,Diploma,No Children,2014,Wine,10
High,Graduation,No Children,2013,Wine,514
Medium,Graduation,Has Children,2014,Wine,14
High,Graduation,No Children,2013,Wine,387
Medium,Graduation,Has Children,2013,Wine,121
High,Master,Has Children,2012,Wine,965
High,Graduation,Has Children,2013,Wine,707
High,Graduation,Has Children,2012,Wine,571
High,PhD,No Children,2014,Wine,586
High,PhD,Has Children,2012,Wine,1063
Medium,Graduation,Has Children,2013,Wine,305
High,Master,No Children,2013,Wine,1200
Medium,PhD,Has Children,2013,Wine,163
High,Graduation,No Children,2013,Wine,1009
Medium,Master,Has Children,2013,Wine,125
High,Master,Has Children,2014,Wine,721
High,Graduation,Has Children,2013,Wine,315
High,Master,No Children,2014,Wine,1000
Low,Graduation,Has Children,2012,Wine,16
High,Graduation,Has Children,2012,Wine,757
Medium,PhD,Has Children,2014,Wine,30
Medium,Graduation,Has Children,2012,Wine,219
High,Graduation,Has Children,2014,Wine,111
Low,Diploma,No Children,2012,Wine,45
High,PhD,Has Children,2013,Wine,410
Medium,PhD,Has Children,2013,Wine,100
Medium,Graduation,Has Children,2012,Wine,509
